user_id,aadhar,phone_number,name,user_role,base_city,base_state,base_lat,base_lon
59cc5b62-67d1-4cf5-975b-cc32e1432f13,359329796346,7280792574,User 1,Viewer,Coimbatore,Tamil Nadu,11.0168,76.9558
906b5b87-d725-458e-b000-ca95f83ecf86,078030704594,9534988814,User 2,Admin,Agra,Uttar Pradesh,27.1767,78.0081
fd75f8df-739a-42b6-9661-9b07b16d2369,446959847317,8761968090,User 3,Admin,Guwahati,Assam,26.1445,91.7362
22a4c754-5182-4ee6-b677-d75dc9467001,320966550802,6766062358,User 4,Viewer,Kanpur,Uttar Pradesh,26.4499,80.3319
7b3fd206-652a-4281-83cb-f546376ff1a9,401831016655,8995620936,User 5,Admin,Dehradun,Uttarakhand,30.3165,78.0322
848822c8-2218-4637-9bed-12c7c806de45,569727508615,6046892130,User 6,Viewer,Chennai,Tamil Nadu,13.0827,80.2707
9ff6100f-3487-4c9f-a6bb-f97f142905ba,868284902391,8778952084,User 7,Inspector,Visakhapatnam,Andhra Pradesh,17.6868,83.2185
a9b7a7be-587e-4458-872f-b8f240d39677,212014917185,6259037347,User 8,Admin,Bengaluru,Karnataka,12.9716,77.5946
332fbda6-3c57-4155-8979-0405259a945b,606301291428,6306560740,User 9,Admin,Mumbai,Maharashtra,19.076,72.8777
18e2f4c1-7d46-47bb-a0bb-afa1a7343061,367010651448,7993345823,User 10,Viewer,Dhanbad,Jharkhand,23.7957,86.4304
94622ebe-d602-4a69-b96a-0db0a646afad,634652899728,7367639020,User 11,Inspector,Bengaluru,Karnataka,12.9716,77.5946
809f0530-ac01-4631-8ef5-40aa7fa67830,370120438927,9492385598,User 12,Admin,Bengaluru,Karnataka,12.9716,77.5946
ceae3b3c-310a-4444-a283-28a2124003e6,464453852228,8002014766,User 13,Admin,Aurangabad,Maharashtra,19.8762,75.3433
673c5c0a-6084-456f-bdf9-aea64219172d,363883685295,9811629092,User 14,Inspector,Coimbatore,Tamil Nadu,11.0168,76.9558
c1382224-9e8d-4816-a5b0-2dbc0f072ea0,814054585915,6475821322,User 15,Admin,Vasai-Virar,Maharashtra,19.3919,72.8397
fccaab5e-ffb5-46cb-b806-1b2b29089cea,625557600322,6031696825,User 16,Viewer,Rajkot,Gujarat,22.3039,70.8022
63310e8f-ba62-48f0-b31f-c85a2c06e342,457868624183,9412479549,User 17,Viewer,Visakhapatnam,Andhra Pradesh,17.6868,83.2185
162da1c1-ac85-4238-b27c-54db4854c57e,348815101924,7340427333,User 18,Viewer,Pune,Maharashtra,18.5204,73.8567
5de43602-0ac1-42b7-a8f5-c075c98dbb5f,710228278281,8065283436,User 19,Admin,Dehradun,Uttarakhand,30.3165,78.0322
0d34a9da-0937-402d-af3c-05bffa04265d,945772952298,7241909455,User 20,Admin,Chennai,Tamil Nadu,13.0827,80.2707
51f7eec2-eeef-446e-8eac-229984c98817,129396260182,8747927706,User 21,Admin,Coimbatore,Tamil Nadu,11.0168,76.9558
6fd8a9e0-2121-4227-be8a-2aff99557c00,116544088138,8422876097,User 22,Admin,Kolkata,West Bengal,22.5726,88.3639
3d9868e4-0d6d-4420-be06-9e00b08b2527,429446481009,6567202561,User 23,Viewer,Kolkata,West Bengal,22.5726,88.3639
6bbced82-85af-49a7-be90-d5e595eca32e,885849674628,9464263449,User 24,Viewer,Dhanbad,Jharkhand,23.7957,86.4304
ed9ecbce-cbf8-4a6b-9763-74b94da43e5f,390923291776,6948691536,User 25,Admin,Meerut,Uttar Pradesh,28.9845,77.7064
28a43fd6-505f-4a6f-b78c-c867c0fa0dc3,490597413155,9050780608,User 26,Viewer,Coimbatore,Tamil Nadu,11.0168,76.9558
839cf945-8617-4a73-ab3b-dd3cd8caf5d8,367557236317,7777621655,User 27,Viewer,Meerut,Uttar Pradesh,28.9845,77.7064
608dc5c6-711d-4a6f-a62a-fc92bc39bb4c,700529047895,7992928720,User 28,Viewer,Nagpur,Maharashtra,21.1458,79.0882
fc9da904-a4d5-4f0b-9116-8410993b7472,853081773562,6559865380,User 29,Admin,Nagpur,Maharashtra,21.1458,79.0882
a16ea210-0e7e-461b-9264-239507e7bfd9,405841012695,6768137602,User 30,Admin,Ludhiana,Punjab,30.901,75.8573
ccfaa337-7584-48a4-a01d-adc8867504f9,068309540830,7283842082,User 31,Admin,Lucknow,Uttar Pradesh,26.8467,80.9462
ea8bcf83-5886-4600-9c54-278a45f5a165,852088313133,9897115752,User 32,Admin,Chennai,Tamil Nadu,13.0827,80.2707
6567cea2-1c64-44da-bb31-2e822a866045,614336838293,8196454963,User 33,Viewer,Kanpur,Uttar Pradesh,26.4499,80.3319
48be1b14-0471-4023-bfe8-f3eb7d6e49fc,238242000634,6857371091,User 34,Inspector,Dehradun,Uttarakhand,30.3165,78.0322
72c059b5-d4c8-4848-a2aa-e6407ccbdf88,998780459761,7178016478,User 35,Inspector,Amritsar,Punjab,31.634,74.8723
72db8139-ef58-4356-a444-bc819e2b819b,619973041020,9234191877,User 36,Inspector,Lucknow,Uttar Pradesh,26.8467,80.9462
ff752a61-0c3e-4179-9918-42b9063ee463,666127133586,6924395353,User 37,Viewer,Chandigarh,Chandigarh,30.7333,76.7794
431b9948-88ea-40f9-a1f1-669666d792fb,951680148678,7255358978,User 38,Inspector,Srinagar,Jammu and Kashmir,34.0837,74.7973
ddb29558-a7fb-4728-bce9-a60d04746bda,373972346980,6617053145,User 39,Viewer,Ranchi,Jharkhand,23.3441,85.3096
